Date,YearMonth,YearMonthNum,Channel,Source,Sessions,ProductViews,AddToCart,Checkout,Purchases,Conv_Session_to_Purchase,Conv_View_to_Cart
2024-01-01,2024-01,202401,Web,Organic Search,333,141,54,40,34,0.1021,0.383
2024-01-01,2024-01,202401,Web,Direct,558,389,80,57,40,0.0717,0.2057
2024-01-01,2024-01,202401,Web,Google Ads,183,67,24,13,10,0.0546,0.3582
2024-01-01,2024-01,202401,Web,Facebook Ads,69,27,5,3,2,0.029,0.1852
2024-01-01,2024-01,202401,Web,Email,257,118,24,19,15,0.0584,0.2034
2024-01-01,2024-01,202401,Mobile App,Organic Search,324,168,48,33,23,0.071,0.2857
2024-01-01,2024-01,202401,Mobile App,Direct,618,427,170,95,72,0.1165,0.3981
2024-01-01,2024-01,202401,Mobile App,Google Ads,241,113,32,21,16,0.0664,0.2832
2024-01-01,2024-01,202401,Mobile App,Facebook Ads,52,33,6,4,3,0.0577,0.1818
2024-01-01,2024-01,202401,Mobile App,Email,204,127,47,31,19,0.0931,0.3701
2024-01-01,2024-01,202401,Marketplace,Organic Search,381,245,96,79,64,0.168,0.3918
2024-01-01,2024-01,202401,Marketplace,Direct,128,60,10,8,5,0.0391,0.1667
2024-01-01,2024-01,202401,Marketplace,Google Ads,316,156,42,25,15,0.0475,0.2692
2024-01-01,2024-01,202401,Marketplace,Facebook Ads,100,47,15,10,8,0.08,0.3191
2024-01-01,2024-01,202401,Marketplace,Email,211,75,29,23,19,0.09,0.3867
2024-01-02,2024-01,202401,Web,Organic Search,66,28,6,4,2,0.0303,0.2143
2024-01-02,2024-01,202401,Web,Direct,312,189,55,32,20,0.0641,0.291
2024-01-02,2024-01,202401,Web,Google Ads,147,63,16,13,11,0.0748,0.254
2024-01-02,2024-01,202401,Web,Facebook Ads,776,363,119,79,54,0.0696,0.3278
2024-01-02,2024-01,202401,Web,Email,174,113,27,19,12,0.069,0.2389
2024-01-02,2024-01,202401,Mobile App,Organic Search,632,334,109,70,60,0.0949,0.3263
2024-01-02,2024-01,202401,Mobile App,Direct,555,241,86,50,35,0.0631,0.3568
2024-01-02,2024-01,202401,Mobile App,Google Ads,235,82,28,20,13,0.0553,0.3415
2024-01-02,2024-01,202401,Mobile App,Facebook Ads,403,270,95,74,46,0.1141,0.3519
2024-01-02,2024-01,202401,Mobile App,Email,252,155,32,23,20,0.0794,0.2065
2024-01-02,2024-01,202401,Marketplace,Organic Search,387,260,80,58,41,0.1059,0.3077
2024-01-02,2024-01,202401,Marketplace,Direct,352,219,53,44,31,0.0881,0.242
2024-01-02,2024-01,202401,Marketplace,Google Ads,395,175,49,39,31,0.0785,0.28
2024-01-02,2024-01,202401,Marketplace,Facebook Ads,522,253,88,60,44,0.0843,0.3478
2024-01-02,2024-01,202401,Marketplace,Email,130,87,31,19,14,0.1077,0.3563
2024-01-03,2024-01,202401,Web,Organic Search,91,59,11,9,6,0.0659,0.1864
2024-01-03,2024-01,202401,Web,Direct,202,103,25,14,11,0.0545,0.2427
2024-01-03,2024-01,202401,Web,Google Ads,158,105,36,21,13,0.0823,0.3429
2024-01-03,2024-01,202401,Web,Facebook Ads,740,329,131,98,60,0.0811,0.3982
2024-01-03,2024-01,202401,Web,Email,368,208,57,42,26,0.0707,0.274
2024-01-03,2024-01,202401,Mobile App,Organic Search,561,245,48,36,31,0.0553,0.1959
2024-01-03,2024-01,202401,Mobile App,Direct,178,124,28,19,12,0.0674,0.2258
2024-01-03,2024-01,202401,Mobile App,Google Ads,847,416,118,66,57,0.0673,0.2837
2024-01-03,2024-01,202401,Mobile App,Facebook Ads,107,53,15,10,8,0.0748,0.283
2024-01-03,2024-01,202401,Mobile App,Email,489,230,74,59,39,0.0798,0.3217
2024-01-03,2024-01,202401,Marketplace,Organic Search,180,119,29,22,14,0.0778,0.2437
2024-01-03,2024-01,202401,Marketplace,Direct,52,35,6,3,1,0.0192,0.1714
2024-01-03,2024-01,202401,Marketplace,Google Ads,404,149,38,30,22,0.0545,0.255
2024-01-03,2024-01,202401,Marketplace,Facebook Ads,50,28,7,4,3,0.06,0.25
2024-01-03,2024-01,202401,Marketplace,Email,24,10,2,1,0,0.0,0.2
2024-01-04,2024-01,202401,Web,Organic Search,218,134,52,42,30,0.1376,0.3881
