OrderID,OrderDate,ShipDate,YearMonth,YearMonthNum,Country,Region,City,Channel,Source,Campaign,Device,PaymentMethod,Fulfillment,Category,SubCategory,Product,CustomerID,Quantity,UnitPrice,Discount,GrossSales,NetSales,COGS,ShippingFee,Profit,NetProfit,Returned,ReturnQty,ReturnAmount
ECM-20250103-00001,2025-01-03,2025-01-04,2025-01,202501,United Arab Emirates,UAE,Abu Dhabi,Mobile App,Direct,Ramadan Offer,Mobile,Credit Card,Own Warehouse,Beauty,Makeup,Matte Lip,CUST-754,1,144.87,0.1,144.87,130.38,79.68,6.2,44.5,44.5,No,0,0.0
ECM-20240910-00002,2024-09-10,2024-09-12,2024-09,202409,Pakistan,East,Karachi,Marketplace,Direct,Ramadan Offer,Mobile,COD,3PL Courier B,Home & Kitchen,Cookware,Nonstick Duo,CUST-1263,1,341.55,0.0,341.55,341.55,239.08,1.19,101.28,101.28,No,0,0.0
ECM-20240703-00003,2024-07-03,2024-07-05,2024-07,202407,United Kingdom,UK,Leeds,Marketplace,Google Ads,New Arrivals,Desktop,Debit Card,Own Warehouse,Fashion,T-Shirts,Classic Tee,CUST-1479,2,43.84,0.05,87.68,83.3,52.61,4.04,26.65,26.65,No,0,0.0
ECM-20241105-00004,2024-11-05,2024-11-11,2024-11,202411,Pakistan,North,Hyderabad,Web,Google Ads,Back to School,Desktop,COD,Own Warehouse,Home & Kitchen,Cookware,Nonstick Duo,CUST-249,1,175.31,0.1,175.31,157.78,122.72,6.74,28.32,28.32,No,0,0.0
ECM-20240928-00005,2024-09-28,2024-10-05,2024-09,202409,Pakistan,South,Hyderabad,Web,Referral,New Arrivals,Mobile,COD,3PL Courier A,Books,Comics,ShadowHero,CUST-465,2,33.42,0.0,66.84,66.84,43.45,0.95,22.44,22.44,No,0,0.0
ECM-20250428-00006,2025-04-28,2025-05-03,2025-04,202504,United States,USA,Austin,Web,Organic Search,Clearance,Desktop,Credit Card,3PL Courier A,Fashion,Jeans,Denim Stretch,CUST-922,3,113.43,0.0,340.29,340.29,204.17,14.45,121.67,121.67,No,0,0.0
ECM-20240422-00007,2024-04-22,2024-04-24,2024-04,202404,United Kingdom,UK,Birmingham,Mobile App,Organic Search,New Arrivals,Mobile,COD,3PL Courier B,Beauty,Skincare,Vitamin C Serum,CUST-122,1,19.4,0.25,19.4,14.55,10.67,1.5,2.38,2.38,No,0,0.0
ECM-20241008-00008,2024-10-08,2024-10-15,2024-10,202410,United States,USA,San Francisco,Mobile App,Google Ads,Ramadan Offer,Mobile,Debit Card,3PL Courier A,Fashion,Jeans,Denim Regular,CUST-1231,1,155.78,0.05,155.78,147.99,93.47,2.08,52.44,52.44,No,0,0.0
ECM-20241218-00009,2024-12-18,2024-12-23,2024-12,202412,United Arab Emirates,UAE,Dubai,Web,Facebook Ads,Summer Mega,Desktop,Debit Card,Own Warehouse,Electronics,Smartwatch,ActiveBand X,CUST-882,3,1120.74,0.0,3362.22,3362.22,2757.02,17.73,587.47,587.47,No,0,0.0
ECM-20250623-00010,2025-06-23,2025-06-25,2025-06,202506,United Kingdom,UK,Manchester,Mobile App,Direct,Summer Mega,Mobile,COD,3PL Courier A,Home & Kitchen,Cookware,Nonstick Duo,CUST-343,1,134.21,0.25,134.21,100.66,93.95,3.66,3.05,3.05,No,0,0.0
